ID,Name,Description,Type,Composition_File
YG_media_001,Synthetic_Complete,Yeast Gates standard growth conditions growth media.,Media,YG_media_001.csv
YG_media_002,Synthetic_Complete_2%Glycerol_2%Ethanol,Slow growth non-fermentable carbon source media. Contains no Dextrose.,Media,YG_media_002.csv
YG_media_003,Synthetic_Complete_1%Sorbitol,High osmotic pressure growth media. Contains Dextrose.,Media,YG_media_003.csv
YG_media_004,Yeast_Extract_Peptone_Adenine_Dextrose,"Nutrient rich, fast growth media.",Media,YG_media_004.csv
UWBF_5783,UWBF_OR_10,"Description: This yeast strain has OR gate logic comprised of 4 genetic elements and Inputs 1_0. Genotype: pMOD4G-dCas9-Mxi1|pMOD6-r5r7-yeGFP|pMOD-LTR2-Bleo-r6r3-RGR-r7|pMOD6-pGRR-r2-RGR-r6. Literature: M. Gander, J. Vrana, W. Voje, J. Carothers &amp; E. Klavins ""Digital logic circuits in yeast with CRISPR-dCas9 NOR gates"" Nature Communications volume 8, 15459 (2017).",Gate,UWBF_5783.csv
UWBF_5992,UWBF_OR_11,"Description: This yeast strain has OR gate logic comprised of 5 genetic elements and Inputs 1_1. Genotype: pMOD4G-dCas9-Mxi1|pMOD6-r5r7-yeGFP|pMOD-LTR2-Bleo-r6r3-RGR-r7|pMOD8A-RGR-r3|pMOD6-pGRR-r2-RGR-r6. Literature: M. Gander, J. Vrana, W. Voje, J. Carothers &amp; E. Klavins ""Digital logic circuits in yeast with CRISPR-dCas9 NOR gates"" Nature Communications volume 8, 15459 (2017).",Gate,UWBF_5992.csv
UWBF_5993,UWBF_OR_01,"Description: This yeast strain has OR gate logic comprised of 4 genetic elements and Inputs 0_1. Genotype: pMOD4G-dCas9-Mxi1|pMOD6-r5r7-yeGFP|pMOD-LTR2-Bleo-r6r3-RGR-r7|pMOD8A-RGR-r3. Literature: M. Gander, J. Vrana, W. Voje, J. Carothers &amp; E. Klavins ""Digital logic circuits in yeast with CRISPR-dCas9 NOR gates"" Nature Communications volume 8, 15459 (2017).",Gate,UWBF_5993.csv
UWBF_6388,UWBF_NOR_01,"Description: This yeast strain has NOR gate logic comprised of 3 genetic elements and Inputs 0_1. Genotype: pMOD_TRP_pGPD-dcas9-mxi1|pMOD_URA_-r5r7-yeGFP|pMOD_HIS_pADH1-RGR-r5. Literature: M. Gander, J. Vrana, W. Voje, J. Carothers &amp; E. Klavins ""Digital logic circuits in yeast with CRISPR-dCas9 NOR gates"" Nature Communications volume 8, 15459 (2017).",Gate,UWBF_6388.csv
UWBF_6389,UWBF_NOR_10,"Description: This yeast strain has NOR gate logic comprised of 3 genetic elements and Inputs 1_0. Genotype: pMOD_TRP_pGPD-dcas9-mxi1|pMOD_URA_-r5r7-yeGFP|pMOD_HIS_pADH1-RGR-r7. Literature: M. Gander, J. Vrana, W. Voje, J. Carothers &amp; E. Klavins ""Digital logic circuits in yeast with CRISPR-dCas9 NOR gates"" Nature Communications volume 8, 15459 (2017).",Gate,UWBF_6389.csv
UWBF_6390,UWBF_NOR_00,"Description: This yeast strain has NOR gate logic comprised of 3 genetic elements and Inputs 0_0. Genotype: pMOD_TRP_pGPD-dcas9-mxi1|pMOD_URA_-r5r7-yeGFP|pMOD_HIS_pADH1-RGR-r3. Literature: M. Gander, J. Vrana, W. Voje, J. Carothers &amp; E. Klavins ""Digital logic circuits in yeast with CRISPR-dCas9 NOR gates"" Nature Communications volume 8, 15459 (2017).",Gate,UWBF_6390.csv
UWBF_6391,UWBF_NOR_11,"Description: This yeast strain has NOR gate logic comprised of 4 genetic elements and Inputs 1_1. Genotype: pMOD_TRP_pGPD-dcas9-mxi1|pMOD_URA_-r5r7-yeGFP|pMOD_HIS_pADH1-RGR-r7|pMOD-LTR3-Hyg-pGRR-r10-RGR-r5. Literature: M. Gander, J. Vrana, W. Voje, J. Carothers &amp; E. Klavins ""Digital logic circuits in yeast with CRISPR-dCas9 NOR gates"" Nature Communications volume 8, 15459 (2017).",Gate,UWBF_6391.csv
UWBF_7299,UWBF_XNOR_11,"Description: This yeast strain has XNOR gate logic comprised of 7 genetic elements and Inputs 1_1. Genotype: pMOD4G-dcas9-mxi1|pMOD6-pGRR-r3r1-yeGFP|pMOD8-pGRR-r10r7-RGR-r3|pMOD-LTR2-Bleo-pGRR-r2r7-RGR-r1|pMOD8A-RGR-r2|pMOD-HOKan-pGRR-r10r2-RGR-r7|pMOD-LTR3-HygMX-pGRR-RGR-r10. Literature: M. Gander, J. Vrana, W. Voje, J. Carothers &amp; E. Klavins ""Digital logic circuits in yeast with CRISPR-dCas9 NOR gates"" Nature Communications volume 8, 15459 (2017).",Gate,UWBF_7299.csv
UWBF_7300,UWBF_XNOR_00,"Description: This yeast strain has XNOR gate logic comprised of 5 genetic elements and Inputs 0_0. Genotype: pMOD4G-dcas9-mxi1|pMOD6-pGRR-r3r1-yeGFP|pMOD8-pGRR-r10r7-RGR-r3|pMOD-LTR2-Bleo-pGRR-r2r7-RGR-r1|pMOD-HOKan-pGRR-r10r2-RGR-r7. Literature: M. Gander, J. Vrana, W. Voje, J. Carothers &amp; E. Klavins ""Digital logic circuits in yeast with CRISPR-dCas9 NOR gates"" Nature Communications volume 8, 15459 (2017).",Gate,UWBF_7300.csv
UWBF_7373,UWBF_AND_10,"Description: This yeast strain has AND gate logic comprised of 5 genetic elements and Inputs 1_0. Genotype: pMOD4G-dcas9-mxi1|pMOD6-r5r7-yeGFP|pMOD-HOKan-pGRR-r10r2-RGR-r7|pMOD-LTR1-Nat-pGRR-r10-RGR-r1|pMOD6-pGRR-r3r1-RGR-r5. Literature: M. Gander, J. Vrana, W. Voje, J. Carothers &amp; E. Klavins ""Digital logic circuits in yeast with CRISPR-dCas9 NOR gates"" Nature Communications volume 8, 15459 (2017).",Gate,UWBF_7373.csv
